Date,Gross
2019-09-12,161928.02
2019-09-13,-633.00
2019-09-16,-633.00
2019-09-17,-633.00
2019-09-18,-633.00
2019-09-19,-633.00
2019-09-20,-633.00
2019-09-23,-633.00
2019-09-24,-633.00
2019-09-25,-633.00
2019-09-26,-633.00
2019-09-27,-633.00
2019-09-30,-633.00
2019-10-01,-633.00
2019-10-02,-633.00
2019-10-03,-633.00
2019-10-04,-633.00
2019-10-07,-633.00
2019-10-08,-633.00
2019-10-09,-633.00
2019-10-10,-633.00
2019-10-11,-633.00
2019-10-15,-633.00
2019-10-16,-633.00
2019-10-17,-633.00
2019-10-18,-633.00
2019-10-21,-633.00
2019-10-22,-633.00
2019-10-23,-633.00
2019-10-24,-633.00
2019-10-25,-633.00
2019-10-28,-633.00
2019-10-29,-633.00
2019-10-30,-633.00
2019-10-31,-633.00
2019-11-01,-633.00
2019-11-04,-633.00
2019-11-05,-633.00
2019-11-06,-633.00
2019-11-07,-633.00
2019-11-08,-633.00
2019-11-12,-633.00
2019-11-13,-633.00
2019-11-14,-633.00
2019-11-15,-633.00
2019-11-18,-633.00
2019-11-19,-633.00
2019-11-20,-633.00
2019-11-21,-633.00
2019-11-22,-633.00
2019-11-25,-633.00
2019-11-26,-633.00
2019-11-27,-633.00
2019-11-29,-633.00
2019-12-02,-633.00
2019-12-03,-633.00
2019-12-04,-633.00
2019-12-05,-633.00
2019-12-06,-633.00
2019-12-09,-633.00
2019-12-10,-633.00
2019-12-11,-633.00
2019-12-12,-633.00
2019-12-13,-633.00
2019-12-16,-633.00
2019-12-17,-633.00
2019-12-18,-633.00
2019-12-19,-633.00
2019-12-20,-633.00
2019-12-23,-633.00
2019-12-24,-633.00
2019-12-26,-633.00
2019-12-27,-633.00
2019-12-30,-633.00
2019-12-31,-633.00
2020-01-02,-633.00
2020-01-03,-633.00
2020-01-06,-633.00
2020-01-07,-633.00
2020-01-08,-633.00
2020-01-09,-633.00
2020-01-10,-633.00
2020-01-13,-633.00
2020-01-14,-633.00
2020-01-15,-633.00
2020-01-16,-633.00
2020-01-17,-633.00
2020-01-21,-633.00
2020-01-22,-633.00
2020-01-23,-633.00
2020-01-24,-633.00
2020-01-27,-633.00
2020-01-28,-633.00
2020-01-29,-633.00
2020-01-30,-633.00
2020-01-31,-633.00
2020-02-03,-633.00
2020-02-04,-633.00
2020-02-05,-633.00
2020-02-06,-633.00
2020-02-07,-633.00
2020-02-10,-633.00
2020-02-11,-633.00
2020-02-12,-633.00
2020-02-13,-633.00
2020-02-14,-633.00
2020-02-18,-633.00
2020-02-19,-633.00
2020-02-20,-633.00
2020-02-21,-633.00
2020-02-24,-633.00
2020-02-25,-633.00
2020-02-26,-633.00
2020-02-27,-633.00
2020-02-28,-633.00
2020-03-02,-633.00
2020-03-03,-633.00
2020-03-04,-633.00
2020-03-05,-633.00
2020-03-06,-633.00
2020-03-09,-633.00
2020-03-10,-633.00
2020-03-11,-633.00
2020-03-12,-633.00
2020-03-13,-633.00
2020-03-16,-633.00
2020-03-17,-633.00
2020-03-18,-633.00
2020-03-19,-633.00
2020-03-20,-633.00
2020-03-23,-633.00
2020-03-24,-633.00
2020-03-25,-633.00
2020-03-26,-633.00
2020-03-27,-633.00
2020-03-27,-628.47
2020-03-30,-633.00
2020-03-31,-633.00
2020-04-01,-633.00
2020-04-02,-633.00
2020-04-03,-633.00
2020-04-06,-633.00
2020-04-07,-633.00
2020-04-08,-633.00
2020-04-09,-633.00
2020-04-10,-633.00
2020-04-13,-633.00
2020-04-14,-633.00
2020-04-15,-633.00
2020-04-16,-633.00
2020-04-17,-633.00
2020-04-20,-633.00
2020-04-21,-633.00
2020-04-22,-633.00
2020-04-23,-633.00
2020-04-24,-633.00
2020-04-26,-674.86
2020-04-27,-633.00
2020-04-28,-633.00
2020-04-29,-633.00
2020-04-30,-633.00
2020-05-01,-633.00
2020-05-04,-633.00
2020-05-05,-633.00
2020-05-06,-633.00
2020-05-07,-633.00
2020-05-08,-633.00
2020-05-11,-633.00
2020-05-12,-633.00
2020-05-13,-633.00
2020-05-14,-633.00
2020-05-15,-633.00
2020-05-18,-633.00
2020-05-19,-633.00
2020-05-20,-633.00
2020-05-21,-633.00
2020-05-22,-633.00
2020-05-26,-633.00
2020-05-27,-633.00
2020-05-27,-613.29
2020-05-28,-633.00
2020-05-29,-633.00
2020-06-01,-633.00
2020-06-02,-633.00
2020-06-03,-633.00
2020-06-04,-633.00
2020-06-05,-633.00
2020-06-08,-633.00
2020-06-09,-633.00
2020-06-10,-633.00
2020-06-11,-633.00
2020-06-12,-633.00
2020-06-15,-633.00
2020-06-16,-633.00
2020-06-17,-633.00
2020-06-18,-633.00
2020-06-19,-633.00
2020-06-22,-633.00
2020-06-23,-633.00
2020-06-24,-633.00
2020-06-25,-633.00
2020-06-26,-633.00
2020-06-26,-469.51
2020-06-29,-633.00
2020-06-30,-633.00
2020-07-01,-633.00
2020-07-02,-633.00
2020-07-03,-633.00
2020-07-06,-633.00
2020-07-07,-633.00
2020-07-08,-633.00
2020-07-09,-633.00
2020-07-10,-633.00
2020-07-13,-633.00
2020-07-14,-633.00
2020-07-15,-633.00
2020-07-16,-633.00
2020-07-17,-633.00
2020-07-20,-633.00
2020-07-21,-633.00
2020-07-22,-633.00
2020-07-23,-633.00
2020-07-24,-633.00
2020-07-27,-633.00
2020-07-27,-665.63
2020-07-28,-633.00
2020-07-29,-633.00
2020-07-30,-633.00
2020-07-31,-633.00
2020-08-03,-633.00
2020-08-04,-633.00
2020-08-05,-633.00
2020-08-06,-633.00
2020-08-07,-633.00
2020-08-10,-633.00
2020-08-11,-633.00
2020-08-12,-633.00
2020-08-13,-633.00
2020-08-14,-633.00
2020-08-17,-633.00
2020-08-18,-633.00
2020-08-19,-633.00
2020-08-20,-633.00
2020-08-21,-633.00
2020-08-24,-633.00
2020-08-25,-633.00
2020-08-26,-633.00
2020-08-27,-626.26
2020-08-27,-633.00
2020-08-28,-633.00
2020-08-31,-633.00
2020-09-01,-633.00
2020-09-02,-633.00
2020-09-03,-633.00
2020-09-04,-633.00
2020-09-08,-633.00
2020-09-09,-633.00
