Date,Actual
2016-07-01,261020.09
2016-08-01,865445.72
2016-09-01,867776.82
2016-10-01,152580.38
2016-11-01,54565.39
2016-12-01,80642.87
2017-01-01,74129.89
2017-02-01,22979.50
2017-03-01,99310.85
2017-04-01,116029.14
2017-05-01,78674.42
2017-06-01,63721.25
2017-07-01,35500.61
2017-08-01,45208.31
2017-09-01,30799.97
2017-10-01,41265.96
2017-11-01,51605.40
2017-12-01,75129.32
2018-01-01,241444.51
2018-02-01,196213.34
2018-03-01,231715.29
2018-04-01,117934.90
2018-05-01,66283.87
2018-06-01,66581.77
2018-07-01,18375.64
2018-08-01,109197.23
2018-09-01,48165.34
2018-10-01,14328.45
2018-11-01,63076.59
2018-12-01,32000.58
2019-01-01,19800.78
2019-02-01,27404.57
2019-03-01,35552.20
2019-04-01,3634.32
2019-05-01,-4130.64
2019-06-01,19346.47
2019-07-01,107807.71
2019-08-01,110226.90
2019-09-01,95443.18
2019-10-01,148576.73
2019-11-01,-2603.73
2019-12-01,3362.45
2020-01-01,18157.77
2020-02-01,4186.91
2020-03-01,23373.24
2020-04-01,94112.43
2020-05-01,7883.07
2020-06-01,23626.32
2020-07-01,-9063.60
2020-08-01,7790.70
2020-09-01,-13650.94
2020-10-01,-10490.56
2020-11-01,-12416.66
2020-12-01,-6167.89
2021-01-01,6619.18
2021-02-01,12622.12
2021-03-01,14026.86
2021-04-01,46245.80
2021-05-01,56901.44
2021-06-01,26890.57
2021-07-01,46656.72
2021-08-01,15405.20
2021-09-01,7497.64
2021-10-01,14907.90
2021-11-01,63374.92
2021-12-01,35445.18
2022-01-01,33887.12
2022-02-01,8057.33
2022-03-01,28394.54
2022-04-01,25327.48
2022-05-01,70936.04
2022-06-01,71638.57
2022-07-01,23620.56
2022-08-01,32111.65
2022-09-01,17759.35
2022-10-01,39672.82
2022-11-01,29633.77
2022-12-01,17582.46
2023-01-01,20085.63
2023-02-01,22727.65
2023-03-01,31874.25
2023-04-01,20633.03
2023-05-01,25710.45
2023-06-01,4935.14
2023-07-01,-900.38
2023-08-01,11078.05
2023-09-01,4580.15
2023-10-01,3829.82
2023-11-01,8513.82
2023-12-01,-83.88
2024-01-01,6115.40
2024-02-01,2721.96
2024-03-01,7985.52
2024-04-01,7919.42
2024-05-01,5176.18
2024-06-01,2029.99
2024-07-01,6129.49
2024-08-01,4503.26
2024-09-01,11521.42
2024-10-01,9821.49
2024-11-01,7673.67
2024-12-01,13537.99
2025-01-01,34881.75
2025-02-01,21340.75
2025-03-01,11486.35
2025-04-01,8302.49
2025-05-01,9886.51
2025-06-01,11012.64
2025-07-01,6161.02
2025-08-01,39396.43
2025-09-01,3818.19
2025-10-01,9834.92
2025-11-01,4682.30
2025-12-01,4958.47
