Date,Actual
2016-08-01,0.00
2016-09-01,0.00
2016-10-01,0.00
2016-11-01,0.00
2016-12-01,0.00
2017-01-01,0.00
2017-02-01,0.00
2017-03-01,0.00
2017-04-01,0.00
2017-05-01,0.00
2017-06-01,0.00
2017-07-01,0.00
2017-08-01,0.00
2017-09-01,0.00
2017-10-01,0.00
2017-11-01,0.00
2017-12-01,0.00
2018-01-01,0.00
2018-02-01,-29322.60
2018-03-01,-21345.90
2018-04-01,-15303.67
2018-05-01,-6299.39
2018-06-01,-6335.54
2018-07-01,-12698.20
2018-08-01,-8437.14
2018-09-01,-6469.14
2018-10-01,-45634.52
2018-11-01,-10039.21
2018-12-01,-11793.31
2019-01-01,-15468.55
2019-02-01,-11225.44
2019-03-01,-14835.41
2019-04-01,-16103.56
2019-05-01,-21110.68
2019-06-01,-19045.51
2019-07-01,-63799.11
2019-08-01,-39925.69
2019-09-01,-25755.03
2019-10-01,-29494.17
2019-11-01,-17807.26
2019-12-01,-5567.07
2020-01-01,-5352.60
2020-02-01,-5758.42
2020-03-01,-6262.91
2020-04-01,-3888.25
2020-05-01,651.68
2020-06-01,-1784.73
2020-07-01,359.50
2020-08-01,-7616.82
2020-09-01,-17170.61
2020-10-01,-18678.95
2020-11-01,-16531.82
2020-12-01,-40868.60
2021-01-01,-47193.39
2021-02-01,-30555.01
2021-03-01,-30220.58
2021-04-01,-612.28
2021-05-01,-6070.66
2021-06-01,-6768.83
2021-07-01,-4654.15
2021-08-01,-2383.75
2021-09-01,220.40
2021-10-01,-1979.97
2021-11-01,421.86
2021-12-01,-2664.51
2022-01-01,-2069.73
2022-02-01,-2745.66
2022-03-01,-1864.40
2022-04-01,-1800.71
2022-05-01,-40084.60
2022-06-01,-8078.52
2022-07-01,-7488.31
2022-08-01,-2034.81
2022-09-01,-1348.52
2022-10-01,-1981.23
2022-11-01,-20793.17
2022-12-01,-33139.16
2023-01-01,-21233.78
2023-02-01,-25032.53
2023-03-01,-17758.39
2023-04-01,-30139.02
2023-05-01,-36425.21
2023-06-01,-36604.73
2023-07-01,-31268.75
2023-08-01,-402.92
2023-09-01,-591.26
2023-10-01,-337.73
2023-11-01,0.00
2023-12-01,-628.06
2024-01-01,-1523.09
2024-02-01,-919.99
2024-03-01,-2368.19
2024-04-01,-7694.37
2024-05-01,-8137.89
2024-06-01,-12930.51
2024-07-01,-13136.10
2024-08-01,-15656.59
2024-09-01,-12837.24
2024-10-01,-6486.48
2024-11-01,111.40
2024-12-01,-690.27
2025-01-01,-1582.12
2025-02-01,100.80
2025-03-01,-713.42
2025-04-01,-871.08
2025-05-01,-849.91
2025-06-01,-901.83
2025-07-01,-464.32
2025-08-01,-1857.00
2025-09-01,-1860.92
2025-10-01,-2585.09
2025-11-01,-1794.76
2025-12-01,-1734.00
2026-01-01,-1014.76
