Date,Actual
2016-08-01,0.00
2016-09-01,0.00
2016-10-01,-2559.88
2016-11-01,1858.71
2016-12-01,-7950.19
2017-01-01,-15158.30
2017-02-01,-9126.77
2017-03-01,-6986.31
2017-04-01,-11567.66
2017-05-01,-15485.23
2017-06-01,-5560.14
2017-07-01,-11319.77
2017-08-01,-7142.73
2017-09-01,-13958.21
2017-10-01,-11189.33
2017-11-01,-17025.89
2017-12-01,-20502.32
2018-01-01,-11996.73
2018-02-01,-8111.64
2018-03-01,-5328.13
2018-04-01,-7370.77
2018-05-01,-9150.22
2018-06-01,-5325.12
2018-07-01,-5513.50
2018-08-01,-5671.49
2018-09-01,-5646.49
2018-10-01,-6473.42
2018-11-01,-3695.69
2018-12-01,-3736.83
2019-01-01,-3682.81
2019-02-01,-3682.81
2019-03-01,-3186.24
2019-04-01,-3529.55
2019-05-01,-3678.45
2019-06-01,-18811.12
2019-07-01,-3422.15
2019-08-01,-3343.54
2019-09-01,-3253.73
2019-10-01,-5935.29
2019-11-01,-5771.42
2019-12-01,-3312.51
2020-01-01,-3330.09
2020-02-01,-3169.67
2020-03-01,-3364.31
2020-04-01,-3234.44
2020-05-01,-3153.53
2020-06-01,-3197.27
2020-07-01,-3153.53
2020-08-01,-3153.53
2020-09-01,-3153.53
2020-10-01,-20501.83
2020-11-01,-9039.68
2020-12-01,-3153.53
2021-01-01,-3153.53
2021-02-01,-3153.53
2021-03-01,-3153.53
2021-04-01,-3153.53
2021-05-01,-3153.53
2021-06-01,-3153.53
2021-07-01,-3153.53
2021-08-01,-3153.53
2021-09-01,-3153.53
2021-10-01,-3203.53
2021-11-01,-3153.53
2021-12-01,-3153.53
2022-01-01,-3153.53
2022-02-01,-3153.53
2022-03-01,-3153.53
2022-04-01,-3153.53
2022-05-01,-3153.53
2022-06-01,-3153.53
2022-07-01,-3153.53
2022-08-01,-3153.53
2022-09-01,-21828.53
2022-10-01,-3153.53
2022-11-01,-3153.53
2022-12-01,-22058.85
2023-01-01,-22001.00
2023-02-01,-21887.13
2023-03-01,-22031.71
2023-04-01,-21653.53
2023-05-01,-21449.39
2023-06-01,-20653.39
2023-07-01,-12343.53
2023-08-01,-2006.93
2023-09-01,-20506.93
2023-10-01,-20078.40
2023-11-01,-10209.83
2023-12-01,-19209.83
2024-01-01,-19008.06
2024-02-01,-19008.06
2024-03-01,-18382.06
2024-04-01,657.26
2024-05-01,-17842.74
2024-06-01,-17470.74
2024-07-01,-16134.88
2024-08-01,-16134.88
2024-09-01,-14896.88
2024-10-01,2556.47
2024-11-01,2906.47
2024-12-01,3042.47
2025-01-01,-3316.90
2025-02-01,-3316.90
2025-03-01,-21816.90
2025-04-01,-20621.90
2025-05-01,-20621.90
2025-06-01,-20558.57
2025-07-01,-20522.44
2025-08-01,-1522.47
2025-09-01,-19628.59
2025-10-01,-19166.59
2025-11-01,-18534.59
2025-12-01,0.00
2026-01-01,-18500.00
