Date,Gross
2016-11-18,-26229.00
2016-11-22,-1796.25
2016-12-19,-18490.40
2017-01-13,-71792.35
2017-02-07,-4083.00
2017-05-11,-929.60
2017-05-23,-26282.40
2017-06-12,-3338.95
2017-07-24,-35056.73
2017-09-05,-95430.36
2017-10-10,-678.00
2017-10-31,-1560.00
2017-12-28,-1106.56
2018-02-22,-75000.00
2018-03-14,74991.68
2018-03-15,-100000.00
2018-04-03,-120000.00
2018-04-26,-10300.00
2018-05-08,10270.00
2018-05-17,-100000.00
2018-07-24,-50000.00
2018-08-16,-5238.86
2018-08-23,-39970.00
2018-10-09,-50792.73
2019-08-16,-13392.50
2019-09-06,-100000.00
2019-11-01,-100000.00
2019-11-15,-27035.00
2020-01-08,-50000.00
2020-04-07,-50000.00
2020-05-01,-50000.00
2020-05-12,-20087.53
2020-07-30,-84087.50
2020-09-09,-20000.00
2020-09-25,-20000.00
2020-11-13,-20000.00
2020-12-04,-20000.00
2020-12-22,-20000.00
2021-02-03,-20000.00
2021-02-09,-42722.00
2021-02-22,-6395.00
2021-03-31,-50000.00
2021-06-02,-50000.00
2021-06-17,-50000.00
2021-08-04,-50000.00
2021-12-21,-31649.00
2022-01-05,-50000.00
2022-02-25,-50000.00
2022-05-18,-6100.00
2022-05-18,-14992.00
2022-05-18,-1800.00
2022-05-26,-50000.00
2022-06-01,-50000.00
2022-07-01,-50000.00
2022-08-08,-50000.00
2022-08-26,-13820.00
2022-08-26,-35347.00
2022-09-07,-440.00
2022-09-27,-3078.00
2022-09-30,-50000.00
2022-10-27,-50000.00
2022-11-14,-8675.00
2022-11-30,-50000.00
2022-12-08,-44018.00
2022-12-27,-40000.00
2023-01-10,-10000.00
2023-02-17,-50000.00
2023-02-28,-7686.00
2023-04-20,-50000.00
2023-04-27,-4907.20
2023-06-08,-75087.50
2023-08-11,-50000.00
2023-10-11,-50000.00
2023-10-16,-5190.00
2023-12-15,-50000.00
2024-01-11,-7000.00
2024-01-18,-50000.00
2024-04-24,-7205.00
2024-05-16,-75581.00
2024-09-18,-4835.00
2025-01-06,-5757.00
2025-01-10,-50000.00
2025-03-13,-50000.00
2025-06-17,-50000.00
2025-06-30,-22710.00
2025-09-16,-100000.00
2025-09-17,-25175.00
