Date,Actual
2016-07-01,0.00
2016-08-01,0.00
2016-09-01,0.00
2016-10-01,0.00
2016-11-01,0.00
2016-12-01,0.00
2017-01-01,0.00
2017-02-01,0.00
2017-03-01,0.00
2017-04-01,0.00
2017-05-01,0.00
2017-06-01,0.00
2017-07-01,0.00
2017-08-01,0.00
2017-09-01,0.00
2017-10-01,0.00
2017-11-01,0.00
2017-12-01,0.00
2018-01-01,0.00
2018-02-01,0.00
2018-03-01,0.00
2018-04-01,0.00
2018-05-01,0.00
2018-06-01,0.00
2018-07-01,0.00
2018-08-01,0.00
2018-09-01,0.00
2018-10-01,0.00
2018-11-01,0.00
2018-12-01,0.00
2019-01-01,0.00
2019-02-01,0.00
2019-03-01,0.00
2019-04-01,0.00
2019-05-01,0.00
2019-06-01,0.00
2019-07-01,0.00
2019-08-01,0.00
2019-09-01,0.00
2019-10-01,0.00
2019-11-01,0.00
2019-12-01,0.00
2020-01-01,0.00
2020-02-01,0.00
2020-03-01,0.00
2020-04-01,0.00
2020-05-01,0.00
2020-06-01,0.00
2020-07-01,0.00
2020-08-01,0.00
2020-09-01,0.00
2020-10-01,-18482.71
2020-11-01,-8728.12
2020-12-01,-9854.81
2021-01-01,-15954.01
2021-02-01,-6307.64
2021-03-01,-6411.15
2021-04-01,-6307.64
2021-05-01,-7006.28
2021-06-01,-6307.64
2021-07-01,-6496.45
2021-08-01,-16564.15
2021-09-01,-10372.74
2021-10-01,-21366.09
2021-11-01,-6372.56
2021-12-01,-6307.64
2022-01-01,-6540.31
2022-02-01,-35540.99
2022-03-01,-21540.31
2022-04-01,-29401.77
2022-05-01,-21401.77
2022-06-01,-51401.77
2022-07-01,-26401.77
2022-08-01,-46401.77
2022-09-01,-51401.77
2022-10-01,-21401.77
2022-11-01,-51401.77
2022-12-01,-51401.77
2023-01-01,-52901.77
2023-02-01,-37401.77
2023-03-01,-40401.77
2023-04-01,-59690.97
2023-05-01,-37690.97
2023-06-01,-34919.58
2023-07-01,-12919.58
2023-08-01,-4438.75
2023-09-01,-4343.75
2023-10-01,-42623.60
2023-11-01,-23531.40
2023-12-01,-41886.40
2024-01-01,-41279.15
2024-02-01,-37796.80
2024-03-01,-41803.89
2024-04-01,-41112.80
2024-05-01,-26347.70
2024-06-01,-20999.36
2024-07-01,-25756.14
2024-08-01,-32361.84
2024-09-01,-35000.00
2024-10-01,-38999.84
2024-11-01,-25000.00
2024-12-01,-38777.91
2025-01-01,-37820.21
2025-02-01,0.00
2025-03-01,0.00
2025-04-01,-20052.74
2025-05-01,-43637.96
2025-06-01,-44000.00
2025-07-01,-35351.15
2025-08-01,-294.86
2025-09-01,-40000.00
2025-10-01,-40429.24
2025-11-01,-35396.54
2025-12-01,-19998.24
