Date,Actual
2016-07-01,-10661.11
2016-08-01,-10661.11
2016-09-01,-10661.11
2016-10-01,689338.89
2016-11-01,689338.89
2016-12-01,504383.99
2017-01-01,414960.48
2017-02-01,378809.69
2017-03-01,278824.46
2017-04-01,278837.96
2017-05-01,278851.91
2017-06-01,278865.41
2017-07-01,203731.84
2017-08-01,203741.96
2017-09-01,75208.14
2017-10-01,51208.14
2017-11-01,7822.85
2017-12-01,7822.85
2018-01-01,7807.96
2018-02-01,7793.07
2018-03-01,7778.18
2018-04-01,12943.39
2018-05-01,5928.58
2018-06-01,5913.61
2018-07-01,5898.65
2018-08-01,5883.68
2018-09-01,5868.71
2018-10-01,5853.75
2018-11-01,5838.78
2018-12-01,5823.81
2019-01-01,5808.84
2019-02-01,5808.84
2019-03-01,5808.84
2019-04-01,5808.84
2019-05-01,5808.84
2019-06-01,6308.84
2019-07-01,6308.84
2019-08-01,6308.84
2019-09-01,6308.84
2019-10-01,6308.84
2019-11-01,6308.84
2019-12-01,6308.84
2020-01-01,6308.84
2020-02-01,6308.84
2020-03-01,6308.84
2020-04-01,6308.84
2020-05-01,6308.84
2020-06-01,6308.84
2020-07-01,6308.84
2020-08-01,6308.84
2020-09-01,6308.84
2020-10-01,6308.84
2020-11-01,6108.84
2020-12-01,6108.84
2021-01-01,6108.84
2021-02-01,6108.84
2021-03-01,6108.84
2021-04-01,6108.84
2021-05-01,6108.84
2021-06-01,6108.84
2021-07-01,6108.84
2021-08-01,6108.84
2021-09-01,6108.84
2021-10-01,6108.84
2021-11-01,6108.84
2021-12-01,5104.58
2022-01-01,5104.58
2022-02-01,5104.58
2022-03-01,5104.58
2022-04-01,5104.58
2022-05-01,5104.58
2022-06-01,5104.58
2022-07-01,5104.58
2022-08-01,5104.58
2022-09-01,5104.58
2022-10-01,5104.58
2022-11-01,5104.58
2022-12-01,5104.58
2023-01-01,5104.58
2023-02-01,5104.58
2023-03-01,5104.58
2023-04-01,5104.58
2023-05-01,5104.58
2023-06-01,5104.58
2023-07-01,5104.58
2023-08-01,5104.58
2023-09-01,5104.58
2023-10-01,5104.58
2023-11-01,5104.58
2023-12-01,5104.58
2024-01-01,5104.58
2024-02-01,5104.58
2024-03-01,5104.58
2024-04-01,5104.58
2024-05-01,5104.58
2024-06-01,5104.58
2024-07-01,5104.58
2024-08-01,5104.58
2024-09-01,5104.58
2024-10-01,5104.58
2024-11-01,5104.58
2024-12-01,5104.58
2025-01-01,5104.58
2025-02-01,5104.58
2025-03-01,5104.58
2025-04-01,5104.58
2025-05-01,5104.58
2025-06-01,5104.58
2025-07-01,5104.58
2025-08-01,5104.58
2025-09-01,5104.58
2025-10-01,5104.58
2025-11-01,5104.58
2025-12-01,5104.58
